file	parliament_year	chamber	column	line	text
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00170/mot_1875__ak__00170_002.pdf	1875	ak	1	26	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00170/mot_1875__ak__00170_002.pdf	1875	ak	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00173/mot_1875__ak__00173_004.pdf	1875	ak	1	1	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00173/mot_1875__ak__00173_004.pdf	1875	ak	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00173/mot_1875__ak__00173_004.pdf	1875	ak	1	9	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_002.pdf	1875	fk	1	6	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_002.pdf	1875	fk	1	11	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_002.pdf	1875	fk	1	13	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_008.pdf	1875	fk	1	5	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_008.pdf	1875	fk	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_008.pdf	1875	fk	1	14	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__fört/mot_1875__fk__fört_003.pdf	1875	fk	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__fört/mot_1875__fk__fört_003.pdf	1875	fk	1	35	
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__fört/mot_1875__fk__fört_003.pdf	1875	fk	1	37	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00002/mot_1876__ak__00002_002.pdf	1876	ak	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00002/mot_1876__ak__00002_002.pdf	1876	ak	1	9	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00002/mot_1876__ak__00002_002.pdf	1876	ak	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00063/mot_1876__ak__00063_002.pdf	1876	ak	1	23	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00063/mot_1876__ak__00063_002.pdf	1876	ak	1	29	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00063/mot_1876__ak__00063_002.pdf	1876	ak	1	38	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00084/mot_1876__ak__00084_005.pdf	1876	ak	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00084/mot_1876__ak__00084_005.pdf	1876	ak	1	17	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00084/mot_1876__ak__00084_005.pdf	1876	ak	1	29	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00001/mot_1876__fk__00001_003.pdf	1876	fk	1	4	
