motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1910/mot-1910--ak--00202.xml;Stockholm den 6 februari 1910.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1910/mot-1910--fk--00031.xml;Stockholm den 27 januari 1910. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1910/mot-1910--fk--00086.xml;Stockholm den 15 april 1910.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1911/mot-1911--ak--00088.xml;Stockholm den 27 januari 1911. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1911/mot-1911--ak--00368.xml;Stockholm den 8 maj 1911. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1911/mot-1911--fk--00098.xml;Stockholm den 3 mars 1911.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1912/mot-1912--ak--00220.xml;Stockholm den 26 januari 1912.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1912/mot-1912--fk--00010.xml;Stockholm den 20 januari 1912.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1912/mot-1912--fk--00110.xml;Stockholm den 6 maj 1912.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1913/mot-1913--ak--00250.xml;Stockholm den 5 februari 1913. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1913/mot-1913--ak--00321.xml;Stockholm den 15 april 1913. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1913/mot-1913--ak--00334.xml;Stockholm den 22 april 1913.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1914/mot-1914-a-ak--00066.xml;Stockholm den 20 januari 1914.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1914/mot-1914-b-ak--00039.xml;Stockholm den 26 maj 1914.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1914/mot-1914-b-ak--00269.xml;Stockholm den 14 augusti 1914.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1915/mot-1915--ak--00086.xml;Stockholm den 25 januari 1915.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1915/mot-1915--ak--00245.xml;Stockholm den 6 maj 1915.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1915/mot-1915--fk--00080.xml;Stockholm den 13 april 1915. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1916/mot-1916--ak--00013.xml;Stockholm den 21 januari 1916.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1916/mot-1916--ak--00071.xml;Stockholm den             27 januari 1916.
